"","candidate","airtime_min","debate","night"
"1","Warren",9.3,1,1
"2","Booker",10.9,1,1
"3","Klobuchar",8.5,1,1
"4","Castro",8.8,1,1
"5","Gabbard",6.6,1,1
"6","Biden",13.6,1,2
"7","Sanders",11,1,2
"8","Buttigieg",10.5,1,2
"9","Harris",11.9,1,2
"10","Yang",3,1,2
"11","Sanders",17.6,2,1
"12","Warren",17.9,2,1
"13","Buttigieg",14.4,2,1
"14","Klobuchar",10.7,2,1
"15","Biden",21.2,2,2
"16","Harris",17.7,2,2
"17","Booker",12.8,2,2
"18","Castro",10.5,2,2
"19","Yang",8.7,2,2
"20","Gabbard",10.6,2,2
"21","Biden",17.4,3,1
"22","Warren",16.5,3,1
"23","Booker",14.7,3,1
"24","Sanders",14.1,3,1
"25","Harris",13.7,3,1
"26","Buttigieg",11.4,3,1
"27","Castro",11,3,1
"28","Klobuchar",10.4,3,1
"29","Yang",7.9,3,1
"30","Warren",22.8,4,1
"31","Biden",16.7,4,1
"32","Klobuchar",13.3,4,1
"33","Sanders",13.1,4,1
"34","Buttigieg",13,4,1
"35","Harris",12.4,4,1
"36","Booker",11.7,4,1
"37","Yang",8.5,4,1
"38","Castro",8.4,4,1
"39","Gabbard",8.4,4,1
